,date,deaths,date_clean,adjusted_approve,adjusted_disapprove,approve,disapprove,Day,Rolling Approval
0,2020-01-21,0,2020-01-21,43.07612994444443,52.930798777777774,43.27777777777778,52.72222222222222,2020-01-21,43.27777777777778
1,2020-01-22,0,2020-01-22,41.96667776923076,53.23663161538461,42.76923076923077,53.23076923076923,2020-01-22,42.76923076923077
2,2020-01-23,0,2020-01-23,45.6021689,49.896615399999995,46.58,49.120000000000005,2020-01-23,46.58
3,2020-01-24,0,2020-01-24,42.208675375,54.169452125,42.375,53.0,2020-01-24,42.375
4,2020-01-25,0,2020-01-25,41.1385515,54.8795705,42.0,54.0,2020-01-25,42.0
5,2020-01-26,0,2020-01-26,42.29177555555556,53.48998033333333,43.666666666666664,52.55555555555556,2020-01-26,43.666666666666664
6,2020-01-27,0,2020-01-27,43.26816257142858,52.96575,44.0,52.57142857142857,2020-01-27,44.0
7,2020-01-28,0,2020-01-28,42.54156028571429,53.27770428571428,43.07142857142857,52.642857142857146,2020-01-28,43.07142857142857
8,2020-01-29,0,2020-01-29,43.060472999999995,52.52241552941176,44.1764705882353,52.23529411764706,2020-01-29,44.1764705882353
9,2020-01-30,0,2020-01-30,43.072767500000005,52.63710999999999,44.2,52.2,2020-01-30,44.2
10,2020-01-31,0,2020-01-31,42.06538333333333,53.932746,42.0,52.666666666666664,2020-01-31,42.0
11,2020-02-01,0,2020-02-01,41.094650599999994,54.711475799999995,41.4,53.6,2020-02-01,41.4
12,2020-02-02,0,2020-02-02,43.15716054545455,52.26782090909091,44.67272727272727,51.43636363636363,2020-02-02,44.67272727272727
13,2020-02-03,0,2020-02-03,42.1219006,53.1658556,44.0,52.0,2020-02-03,44.0
14,2020-02-04,0,2020-02-04,42.58051763636363,52.82632927272727,43.27272727272727,52.36363636363637,2020-02-04,43.27272727272727
15,2020-02-05,0,2020-02-05,43.105987818181816,52.09531354545454,44.27272727272727,51.36363636363637,2020-02-05,44.27272727272727
16,2020-02-06,0,2020-02-06,44.2066765,50.015519999999995,49.0,49.0,2020-02-06,49.0
17,2020-02-07,0,2020-02-07,44.493185000000004,50.70159925,45.375,50.0,2020-02-07,45.375
18,2020-02-08,0,2020-02-08,,,,,,
19,2020-02-09,0,2020-02-09,42.8150341111111,52.71925183333333,43.27777777777778,52.0,2020-02-09,43.27777777777778
20,2020-02-10,0,2020-02-10,42.7219006,52.5658556,44.6,51.4,2020-02-10,44.6
21,2020-02-11,0,2020-02-11,42.508018769230766,52.36151853846154,43.61538461538461,51.76923076923077,2020-02-11,43.61538461538461
22,2020-02-12,0,2020-02-12,42.19269671428571,53.23581171428572,43.714285714285715,52.285714285714285,2020-02-12,43.714285714285715
23,2020-02-13,0,2020-02-13,44.10178642857143,51.620520857142864,45.42857142857143,50.57142857142857,2020-02-13,45.42857142857143
24,2020-02-14,0,2020-02-14,45.50414983333334,50.89345866666667,46.36666666666667,50.300000000000004,2020-02-14,46.36666666666667
25,2020-02-15,0,2020-02-15,42.958307166666664,51.927589666666655,43.833333333333336,51.166666666666664,2020-02-15,43.833333333333336
26,2020-02-16,0,2020-02-16,44.47262984615384,51.40454569230769,44.69230769230769,51.76923076923077,2020-02-16,44.69230769230769
27,2020-02-17,0,2020-02-17,44.16943756249999,52.015336062500005,44.75,52.0,2020-02-17,44.75
28,2020-02-18,0,2020-02-18,43.50449283333333,51.035366833333335,44.333333333333336,50.050000000000004,2020-02-18,44.333333333333336
29,2020-02-19,0,2020-02-19,43.648692999999994,52.286423,44.625,52.125,2020-02-19,44.625
30,2020-02-20,0,2020-02-20,41.257266875000006,54.39381775,41.625,54.75,2020-02-20,41.625
31,2020-02-21,0,2020-02-21,41.398716666666665,55.26607933333333,41.333333333333336,54.0,2020-02-21,41.333333333333336
32,2020-02-22,0,2020-02-22,42.343817599999994,52.9654624,42.72,52.279999999999994,2020-02-22,42.72
33,2020-02-23,0,2020-02-23,41.874686642857135,53.779337928571415,43.0,53.0,2020-02-23,43.0
34,2020-02-24,0,2020-02-24,43.3219006,51.9658556,45.2,50.8,2020-02-24,45.2
35,2020-02-25,0,2020-02-25,43.255845999999984,52.277704285714286,43.785714285714285,51.642857142857146,2020-02-25,43.785714285714285
36,2020-02-26,0,2020-02-26,44.32028714285714,51.89177014285714,46.42857142857143,51.285714285714285,2020-02-26,46.42857142857143
37,2020-02-27,0,2020-02-27,42.38750071428571,54.620520857142864,43.714285714285715,53.57142857142857,2020-02-27,43.714285714285715
38,2020-02-28,0,2020-02-28,44.072140142857144,51.44449300000001,45.0,51.57142857142857,2020-02-28,45.0
39,2020-02-29,1,2020-02-29,43.350924199999994,52.74726979999999,42.8,52.2,2020-02-29,42.8
40,2020-03-01,3,2020-03-01,41.66040092857143,54.0650522142857,42.785714285714285,53.285714285714285,2020-03-01,42.785714285714285
41,2020-03-02,6,2020-03-02,42.2066765,52.015519999999995,47.0,51.0,2020-03-02,47.0
42,2020-03-03,10,2020-03-03,42.5347468125,52.295286874999995,43.0,51.75,2020-03-03,43.0
43,2020-03-04,12,2020-03-04,42.56122025,53.68859775,44.0,52.75,2020-03-04,44.0
44,2020-03-05,12,2020-03-05,42.81122025,52.56359775,44.25,51.625,2020-03-05,44.25
45,2020-03-06,15,2020-03-06,42.06538333333333,53.599412666666666,42.0,52.333333333333336,2020-03-06,42.0
46,2020-03-07,19,2020-03-07,42.577440700000004,53.951082899999996,42.7,53.5,2020-03-07,42.7
47,2020-03-08,22,2020-03-08,43.327209454545454,52.72783272727272,43.72727272727273,52.81818181818182,2020-03-08,43.72727272727273
48,2020-03-09,26,2020-03-09,42.63377630769231,53.33256446153845,44.07692307692308,52.61538461538461,2020-03-09,44.07692307692308
49,2020-03-10,31,2020-03-10,42.648692999999994,52.161423,43.625,52.0,2020-03-10,43.625
50,2020-03-11,37,2020-03-11,42.434546555555556,53.019751888888884,43.55555555555556,52.22222222222222,2020-03-11,43.55555555555556
51,2020-03-12,43,2020-03-12,44.11587822222222,51.831004,45.888888888888886,50.800000000000004,2020-03-12,45.888888888888886
52,2020-03-13,50,2020-03-13,42.851904222222224,52.797325444444446,43.111111111111114,52.333333333333336,2020-03-13,43.111111111111114
53,2020-03-14,60,2020-03-14,42.810752,52.245414625,42.75,51.25,2020-03-14,42.75
54,2020-03-15,68,2020-03-15,43.55879772727272,52.50580609090909,45.27272727272727,51.90909090909091,2020-03-15,45.27272727272727
55,2020-03-16,91,2020-03-16,41.81122025,54.18859775,43.25,53.25,2020-03-16,43.25
56,2020-03-17,117,2020-03-17,43.671426727272724,53.00814745454545,44.36363636363637,52.54545454545455,2020-03-17,44.36363636363637
57,2020-03-18,162,2020-03-18,45.519224857142866,51.50867685714286,47.857142857142854,50.714285714285715,2020-03-18,47.857142857142854
58,2020-03-19,212,2020-03-19,42.396769600000006,53.149060199999994,42.86,52.9,2020-03-19,42.86
59,2020-03-20,277,2020-03-20,45.012734833333326,51.912957000000006,45.333333333333336,51.0,2020-03-20,45.333333333333336
60,2020-03-21,360,2020-03-21,45.694650599999996,49.7114758,46.0,48.6,2020-03-21,46.0
61,2020-03-22,458,2020-03-22,45.3990246875,49.9578321875,46.5625,49.375,2020-03-22,46.5625
62,2020-03-23,579,2020-03-23,45.57171944444445,49.696678000000006,47.22222222222222,49.77777777777778,2020-03-23,47.22222222222222
63,2020-03-24,785,2020-03-24,44.874198619047625,51.70340476190476,45.095238095238095,52.142857142857146,2020-03-24,45.095238095238095
64,2020-03-25,1054,2020-03-25,45.264335249999995,50.217478416666665,45.916666666666664,50.25,2020-03-25,45.916666666666664
65,2020-03-26,1353,2020-03-26,44.5356474736842,51.22692684210526,46.05263157894737,50.68421052631579,2020-03-26,46.05263157894737
66,2020-03-27,1770,2020-03-27,44.8357884,52.64454880000001,44.4,52.8,2020-03-27,44.4
67,2020-03-28,2300,2020-03-28,44.22354483333333,52.83356683333333,44.199999999999996,53.46666666666667,2020-03-28,44.199999999999996
68,2020-03-29,2718,2020-03-29,43.64552946153845,52.17770823076923,44.69230769230769,52.53846153846154,2020-03-29,44.69230769230769
69,2020-03-30,3368,2020-03-30,46.74453999999999,50.16984992857142,47.214285714285715,49.642857142857146,2020-03-30,47.214285714285715
70,2020-03-31,4304,2020-03-31,45.722789750000004,51.019522875,46.0625,50.75,2020-03-31,46.0625
71,2020-04-01,5325,2020-04-01,44.75258541666667,50.07261658333332,45.333333333333336,49.916666666666664,2020-04-01,45.333333333333336
72,2020-04-02,6541,2020-04-02,44.08461357142858,52.46482628571429,45.142857142857146,52.285714285714285,2020-04-02,45.142857142857146
73,2020-04-03,7932,2020-04-03,44.87513445454545,51.350289909090904,45.54545454545455,51.90909090909091,2020-04-03,45.54545454545455
74,2020-04-04,9488,2020-04-04,44.07404745454546,52.65988909090908,44.199999999999996,52.5,2020-04-04,44.199999999999996
75,2020-04-05,10856,2020-04-05,43.06369107142856,53.26131114285714,44.07142857142857,52.92857142857143,2020-04-05,44.07142857142857
76,2020-04-06,12382,2020-04-06,44.96487527272728,49.39622818181818,45.27272727272727,49.90909090909091,2020-04-06,45.27272727272727
77,2020-04-07,14616,2020-04-07,43.7120761,52.115305,44.1,51.65,2020-04-07,44.1
78,2020-04-08,16701,2020-04-08,43.08461357142858,52.03625485714286,44.142857142857146,51.857142857142854,2020-04-08,44.142857142857146
79,2020-04-09,18821,2020-04-09,42.98548866666667,53.22365833333333,44.0,52.888888888888886,2020-04-09,44.0
80,2020-04-10,21084,2020-04-10,44.378378166666664,52.08387099999999,44.449999999999996,52.56666666666666,2020-04-10,44.449999999999996
81,2020-04-11,23168,2020-04-11,43.000975,52.60493,43.285714285714285,51.714285714285715,2020-04-11,43.285714285714285
82,2020-04-12,24849,2020-04-12,43.09981583333333,53.16346541666666,43.916666666666664,53.0,2020-04-12,43.916666666666664
83,2020-04-13,26613,2020-04-13,43.68283055555556,52.58556688888889,45.333333333333336,52.666666666666664,2020-04-13,45.333333333333336
84,2020-04-14,29318,2020-04-14,44.56153085,52.083497349999995,44.855000000000004,52.595000000000006,2020-04-14,44.855000000000004
85,2020-04-15,32070,2020-04-15,44.67993320000001,51.53595573333334,45.266666666666666,51.266666666666666,2020-04-15,45.266666666666666
